Label,Vulnerability Name,Package Name,Package Version,Type,Publish Date
M,Cross-site Scripting (XSS),librenms/librenms,&lt;21.4.0,Composer,"0,Sep,2021"
C,Cross-site Scripting (XSS),remark-html,"&gt;&#x3D;14.0.0 &lt;14.0.1,&lt;13.0.2",npm,"0,Sep,2021"
C,Cross-site Scripting (XSS),org.webjars.npm:remark-html,"[0,]",Maven,"0,Sep,2021"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:git,"[,4.2.1)",Maven,"1,Mar,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:audit-trail,"[,3.3)",Maven,"1,Mar,2020"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:timestamper,"[,1.11.2)",Maven,"1,Mar,2020"
H,Cross-site Scripting (XSS),getgrav/grav,&lt;1.6.30,Composer,"1,Dec,2020"
M,Cross-site Scripting (XSS),apache-airflow,"[,2.0.2)",pip,"1,Dec,2020"
H,Cross-site Scripting (XSS),ckeditor4-dev,&lt;4.15.1,npm,"0,Dec,2020"
M,Cross-site Scripting (XSS),s-cart/core,&lt;4.4,Composer,"0,Dec,2020"
H,Cross-site Scripting (XSS),cabot,"[0,]",pip,"0,Dec,2020"
H,Cross-site Scripting (XSS),html-purify,*,npm,"0,Dec,2020"
M,Cross-site Scripting (XSS),mediawiki/core,&gt;&#x3D;0.0.0,Composer,"0,Dec,2020"
M,Cross-site Scripting (XSS),mediawiki/core,&gt;&#x3D;0.0.0,Composer,"0,Dec,2020"
M,Cross-site Scripting (XSS),materialize-css,*,npm,"1,Sep,2021"
M,Cross-site Scripting (XSS),org.webjars.npm:materialize-css,"[0,]",Maven,"1,Sep,2021"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:dashboard-view,"[,2.16)",Maven,"1,Jun,2021"
M,Cross-site Scripting (XSS),org.jenkins-ci.plugins:kiuwanjenkinsplugin,"[,1.6.1)",Maven,"1,Jun,2021"
M,Cross-site Scripting (XSS),moodle/moodle,&gt;&#x3D;0.0.0,Composer,"1,Jun,2021"
M,Cross-site Scripting (XSS),pagekit/pagekit,&gt;&#x3D;0.0.0,Composer,"1,Jun,2021"
M,Cross-site Scripting (XSS),github.com/3xxx/engineercms/controllers,&lt;1.1.0,Go,"0,Oct,2021"
M,Cross-site Scripting (XSS),james-heinrich/getid3,&lt;1.9.21,Composer,"0,Oct,2021"
M,Cross-site Scripting (XSS),hjue/justwriting,&gt;&#x3D;0.0.0,Composer,"0,Oct,2021"
M,Cross-site Scripting (XSS),org.opencrx:opencrx-gradle,"[4.0.0, 5.2.0)",Maven,"0,Oct,2021"
M,Cross-site Scripting (XSS),org.opencrx:opencrx-core-models,"[4.0.0, 5.2.0)",Maven,"0,Oct,2021"
M,Cross-site Scripting (XSS),org.opencrx:opencrx-core-config,"[4.0.0, 5.2.0)",Maven,"0,Oct,2021"
M,Cross-site Scripting (XSS),org.opencrx:opencrx-core,"[4.0.0, 5.2.0)",Maven,"0,Oct,2021"
M,Cross-site Scripting (XSS),org.opencrx:opencrx-client,"[4.0.0, 5.2.0)",Maven,"0,Oct,2021"
M,Cross-site Scripting (XSS),wanglelecc/laracms,&gt;&#x3D;0.0.0,Composer,"3,Sep,2021"
M,Cross-site Scripting (XSS),wanglelecc/laracms,&gt;&#x3D;0.0.0,Composer,"3,Sep,2021"
M,Cross-site Scripting (XSS),layui-src,&lt;2.6.8,npm,"0,Jun,2021"
M,Cross-site Scripting (XSS),layui,&lt;2.6.8,npm,"0,Jun,2021"
M,Cross-site Scripting (XSS),org.webjars:layui,"[0,2.6.8)",Maven,"0,Jun,2021"
M,Cross-site Scripting (XSS),mautic/core,"&gt;&#x3D;4.0.0-alpha1, &lt;4.0.0,&lt;3.3.4",Composer,"3,Aug,2021"
H,Cross-site Scripting (XSS),mautic/core,"&gt;&#x3D;4.0.0-alpha1, &lt;4.0.0,&lt;3.3.4",Composer,"3,Aug,2021"
